"subject","trial","mag","response","rt","stim_displacement","session_n","trial_n_session","trial_n_block","block_count","log_mag","reward","mu_val","mu_rw","mu_val_log","sd_val","model_based_env","val_1back","val_2back","val_3back","val_4back","val_5back","val_6back","val_7back","val_8back","val_9back","val_10back","env_bin","mag_z","trial_z","trial_n_session_z","session_n_z","trial_n_block_z","mu_val_z","sd_val_z","val_1back_z","val_2back_z","val_3back_z","val_4back_z","val_5back_z","val_6back_z","val_7back_z","val_8back_z","val_9back_z","val_10back_z","prev_action","prev_policy","viterbi_state","state_difference","state_transition","env"
103,1,10,1,1.214595166,1,1,1,1,1,2.302585093,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-0.574192181,-1.718560105,-1.681703705,-1.395984411,-1.608179256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"poor"
103,2,5,0,NA,1,1,2,2,1,1.609437912,0,NA,NA,NA,NA,1.929698824,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-0.821378052,-1.700564711,-1.591813083,-1.395984411,-1.430520788,NA,NA,-0.576185564,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,0,0,"poor"
103,3,50,1,0.797388312,1,1,3,3,1,3.912023005,50,NA,NA,NA,NA,2.028815033,5,10,NA,NA,NA,NA,NA,NA,NA,NA,-1,1.403294791,-1.682569317,-1.501922462,-1.395984411,-1.25286232,NA,NA,-0.822937678,-0.570285121,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,0,0,"poor"
103,4,10,0,NA,2,1,4,4,1,2.302585093,0,NA,NA,NA,NA,2.042503536,50,5,10,NA,NA,NA,NA,NA,NA,NA,-1,-0.574192181,-1.664573924,-1.412031841,-1.395984411,-1.075203852,NA,NA,1.397831346,-0.817669078,-0.564326842,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,"poor"
103,5,50,1,0.817777045,1,1,5,5,1,3.912023005,50,NA,NA,NA,NA,2.13597951,10,50,5,10,NA,NA,NA,NA,NA,NA,-1,1.403294791,-1.64657853,-1.32214122,-1.395984411,-0.897545384,NA,NA,-0.576185564,1.408786532,-0.812368175,-0.568136935,NA,NA,NA,NA,NA,NA,0,1,2,0,0,"poor"
103,6,5,0,NA,1,1,6,6,1,1.609437912,0,25,22,2.807730822,22.91287847,2.041202022,50,10,50,5,10,NA,NA,NA,NA,NA,-1,-0.821378052,-1.628583136,-1.232250599,-1.395984411,-0.719886917,0.345289726,0.628988664,1.397831346,-0.570285121,1.420003821,-0.815955367,-0.570140752,NA,NA,NA,NA,NA,1,0,2,0,0,"poor"
103,7,5,0,NA,1,1,7,7,1,1.609437912,0,24,20,2.669101386,23.8222585,1.963484482,5,50,10,50,5,10,NA,NA,NA,NA,-1,-0.821378052,-1.610587742,-1.142359978,-1.395984411,-0.542228449,0.244714681,0.748045444,-0.822937678,1.408786532,-0.564326842,1.414410514,-0.817510405,-0.57216595,NA,NA,NA,NA,0,0,2,0,0,"poor"
103,8,50,1,0.604085415,2,1,8,8,1,3.912023005,50,24,20,2.669101386,23.8222585,2.060911409,5,5,50,10,50,5,10,NA,NA,NA,-1,1.403294791,-1.592592349,-1.052469356,-1.395984411,-0.364569981,0.244714681,0.748045444,-0.822937678,-0.817669078,1.420003821,-0.568136935,1.408816475,-0.819086754,-0.576084165,NA,NA,NA,0,1,2,0,0,"poor"
103,9,5,0,NA,2,1,9,9,1,1.609437912,0,24,20,2.669101386,23.8222585,1.979646179,50,5,5,50,10,50,5,10,NA,NA,-1,-0.821378052,-1.574596955,-0.962578735,-1.395984411,-0.186911513,0.244714681,0.748045444,1.397831346,-0.817669078,-0.812368175,1.414410514,-0.570140752,1.403200485,-0.822786874,-0.580049947,NA,NA,1,0,2,0,0,"poor"
103,10,5,0,NA,2,1,10,10,1,1.609437912,0,23,20,2.53047195,24.64751509,1.913008691,5,50,5,5,50,10,50,5,10,NA,-1,-0.821378052,-1.556601561,-0.872688114,-1.395984411,-0.009253045,0.144139636,0.856088715,-0.822937678,1.408786532,-0.812368175,-0.815955367,1.408816475,-0.57216595,1.39753751,-0.826537685,-0.584064367,NA,0,0,2,0,0,"poor"
103,11,10,0,NA,2,1,11,11,1,2.302585093,0,14,10,2.069954931,20.1246118,1.932487511,5,5,50,5,5,50,10,50,5,10,-1,-0.574192181,-1.538606167,-0.782797493,-1.395984411,0.168405423,-0.761035767,0.263946498,-0.822937678,-0.817669078,1.420003821,-0.815955367,-0.817510405,1.403200485,-0.576084165,1.391851952,-0.830340356,-0.577937987,0,0,2,0,0,"poor"
103,12,5,0,NA,2,1,12,12,1,1.609437912,0,15,10,2.208584367,19.68501969,1.874338584,10,5,5,50,5,5,50,10,50,5,-1,-0.821378052,-1.520610773,-0.692906872,-1.395984411,0.346063891,-0.660460722,0.206394737,-0.576185564,-0.817669078,-0.812368175,1.414410514,-0.817510405,-0.819086754,1.39753751,-0.580049947,1.386143545,-0.82485046,0,0,2,0,0,"poor"
103,13,5,0,NA,2,1,13,13,1,1.609437912,0,15,10,2.208584367,19.68501969,1.826656463,5,10,5,5,50,5,5,50,10,50,-1,-0.821378052,-1.50261538,-0.60301625,-1.395984411,0.523722358,-0.660460722,0.206394737,-0.822937678,-0.570285121,-0.812368175,-0.815955367,1.408816475,-0.819086754,-0.822786874,1.391851952,-0.584064367,1.397361799,0,0,2,0,0,"poor"
103,14,10,0,NA,1,1,14,14,1,2.302585093,0,6,0,1.748067349,2.236067977,1.850452894,5,5,10,5,5,50,5,5,50,10,-1,-0.574192181,-1.484619986,-0.513125629,-1.395984411,0.701380826,-1.565636126,-2.078036366,-0.822937678,-0.817669078,-0.564326842,-0.815955367,-0.817510405,1.403200485,-0.822786874,-0.826537685,1.386143545,-0.577937987,0,0,2,0,0,"poor"
103,15,5,1,0.63495869,2,1,15,15,1,1.609437912,5,7,0,1.886696785,2.738612788,1.807070198,10,5,5,10,5,5,50,5,5,50,-1,-0.821378052,-1.466624592,-0.423235008,-1.395984411,0.879039294,-1.465061081,-2.012242787,-0.576185564,-0.817669078,-0.812368175,-0.568136935,-0.817510405,-0.819086754,1.39753751,-0.826537685,-0.830340356,1.397361799,0,0,2,0,0,"poor"
103,16,10,1,0.739499031,1,1,16,16,1,2.302585093,10,7,1,1.886696785,2.738612788,1.831845942,5,10,5,5,10,5,5,50,5,5,-1,-0.574192181,-1.448629198,-0.333344387,-1.395984411,1.056697762,-1.465061081,-2.012242787,-0.822937678,-0.570285121,-0.812368175,-0.815955367,-0.570140752,-0.819086754,-0.822786874,1.391851952,-0.830340356,-0.82485046,1,0,2,0,0,"poor"
103,17,5,1,0.82307147,1,1,17,17,1,1.609437912,5,7,3,1.886696785,2.738612788,1.791812497,10,5,10,5,5,10,5,5,50,5,-1,-0.821378052,-1.430633805,-0.243453766,-1.395984411,1.23435623,-1.465061081,-2.012242787,-0.576185564,-0.817669078,-0.564326842,-0.815955367,-0.817510405,-0.57216595,-0.822786874,-0.826537685,1.386143545,-0.82485046,1,1,2,0,0,"poor"
103,18,5,0,NA,2,1,18,18,1,1.609437912,0,7,4,1.886696785,2.738612788,1.758985072,5,10,5,10,5,5,10,5,5,50,-1,-0.821378052,-1.412638411,-0.153563145,-1.395984411,1.412014698,-1.465061081,-2.012242787,-0.822937678,-0.570285121,-0.812368175,-0.568136935,-0.817510405,-0.819086754,-0.576084165,-0.826537685,-0.830340356,1.397361799,1,1,2,0,0,"poor"
103,19,10,1,1.315396,2,1,19,19,1,2.302585093,10,7,4,1.886696785,2.738612788,1.786165073,5,5,10,5,10,5,5,10,5,5,-1,-0.574192181,-1.394643017,-0.063672523,-1.395984411,1.589673165,-1.465061081,-2.012242787,-0.822937678,-0.817669078,-0.564326842,-0.815955367,-0.570140752,-0.819086754,-0.822786874,-0.580049947,-0.830340356,-0.82485046,0,1,2,0,0,"poor"
103,20,5,0,NA,2,1,20,20,1,1.609437912,0,7,6,1.886696785,2.738612788,1.754354184,10,5,5,10,5,10,5,5,10,5,-1,-0.821378052,-1.376647623,0.026218098,-1.395984411,1.767331633,-1.465061081,-2.012242787,-0.576185564,-0.817669078,-0.812368175,-0.568136935,-0.817510405,-0.57216595,-0.822786874,-0.826537685,-0.584064367,-0.82485046,1,0,2,0,0,"poor"
103,21,10,1,0.743362295,1,1,21,1,2,2.302585093,10,7,5,1.886696785,2.738612788,1.781765729,5,10,5,5,10,5,10,5,5,10,1,-0.574192181,-1.35865223,0.116108719,-1.395984411,-1.608179256,-1.465061081,-2.012242787,-0.822937678,-0.570285121,-0.812368175,-0.815955367,-0.570140752,-0.819086754,-0.576084165,-0.826537685,-0.830340356,-0.577937987,0,1,2,0,0,"rich"
103,22,10,0,NA,2,1,22,2,2,2.302585093,0,7,5,1.886696785,2.738612788,1.807806698,10,5,10,5,5,10,5,10,5,5,1,-0.574192181,-1.340656836,0.20599934,-1.395984411,-1.430520788,-1.465061081,-2.012242787,-0.576185564,-0.817669078,-0.564326842,-0.815955367,-0.817510405,-0.57216595,-0.822786874,-0.580049947,-0.830340356,-0.82485046,1,1,2,0,0,"rich"
103,23,10,0,NA,1,1,23,3,2,2.302585093,0,8,4,2.025326221,2.738612788,1.832545617,10,10,5,10,5,5,10,5,10,5,1,-0.574192181,-1.322661442,0.295889961,-1.395984411,-1.25286232,-1.364486037,-2.012242787,-0.576185564,-0.570285121,-0.812368175,-0.568136935,-0.817510405,-0.819086754,-0.576084165,-0.826537685,-0.584064367,-0.82485046,0,0,2,0,0,"rich"
103,24,5,0,NA,2,1,24,4,2,1.609437912,0,9,4,2.163955657,2.236067977,1.79238623,10,10,10,5,10,5,5,10,5,10,1,-0.821378052,-1.304666048,0.385780583,-1.395984411,-1.075203852,-1.263910992,-2.078036366,-0.576185564,-0.570285121,-0.564326842,-0.815955367,-0.570140752,-0.819086754,-0.822786874,-0.580049947,-0.830340356,-0.577937987,0,0,2,0,0,"rich"
103,25,50,1,0.60237913,2,1,25,5,2,3.912023005,50,8,2,2.025326221,2.738612788,1.898368069,5,10,10,10,5,10,5,5,10,5,1,1.403294791,-1.286670654,0.475671204,-1.395984411,-0.897545384,-1.364486037,-2.012242787,-0.822937678,-0.570285121,-0.564326842,-0.568136935,-0.817510405,-0.57216595,-0.822786874,-0.826537685,-0.584064367,-0.82485046,0,1,2,0,0,"rich"
103,26,50,1,0.708794814,1,1,26,6,2,3.912023005,50,17,12,2.485843239,18.57417562,1.999050816,50,5,10,10,10,5,10,5,5,10,1,1.403294791,-1.268675261,0.565561825,-1.395984411,-0.719886917,-0.459310633,0.060962119,1.397831346,-0.817669078,-0.564326842,-0.568136935,-0.570140752,-0.819086754,-0.576084165,-0.826537685,-0.830340356,-0.577937987,1,1,2,0,0,"rich"
103,27,5,0,NA,1,1,27,7,2,1.609437912,0,25,20,2.807730822,22.91287847,1.928920493,50,50,5,10,10,10,5,10,5,5,1,-0.821378052,-1.250679867,0.655452446,-1.395984411,-0.542228449,0.345289726,0.628988664,1.397831346,1.408786532,-0.812368175,-0.568136935,-0.570140752,-0.57216595,-0.822786874,-0.580049947,-0.830340356,-0.82485046,1,0,2,0,0,"rich"
103,28,5,0,NA,1,1,28,8,2,1.609437912,0,24,20,2.669101386,23.8222585,1.871413629,5,50,50,5,10,10,10,5,10,5,1,-0.821378052,-1.232684473,0.745343067,-1.395984411,-0.364569981,0.244714681,0.748045444,-0.822937678,1.408786532,1.420003821,-0.815955367,-0.570140752,-0.57216595,-0.576084165,-0.826537685,-0.584064367,-0.82485046,0,0,2,0,0,"rich"
103,29,5,0,NA,1,1,29,9,2,1.609437912,0,23,20,2.53047195,24.64751509,1.824258,5,5,50,50,5,10,10,10,5,10,1,-0.821378052,-1.214689079,0.835233689,-1.395984411,-0.186911513,0.144139636,0.856088715,-0.822937678,-0.817669078,1.420003821,1.414410514,-0.817510405,-0.57216595,-0.576084165,-0.580049947,-0.830340356,-0.577937987,0,0,2,0,0,"rich"
103,30,50,1,0.570898331,2,1,30,10,2,3.912023005,50,23,20,2.53047195,24.64751509,1.92864625,5,5,5,50,50,5,10,10,10,5,1,1.403294791,-1.196693686,0.92512431,-1.395984411,-0.009253045,0.144139636,0.856088715,-0.822937678,-0.817669078,-0.812368175,1.414410514,1.408816475,-0.819086754,-0.576084165,-0.580049947,-0.584064367,-0.82485046,0,1,2,0,0,"rich"
103,31,10,1,0.798318972,2,1,31,11,2,2.302585093,10,23,20,2.53047195,24.64751509,1.947343192,50,5,5,5,50,50,5,10,10,10,1,-0.574192181,-1.178698292,1.015014931,-1.395984411,0.168405423,0.144139636,0.856088715,1.397831346,-0.817669078,-0.812368175,-0.815955367,1.408816475,1.403200485,-0.822786874,-0.580049947,-0.584064367,-0.577937987,1,0,2,0,0,"rich"
103,32,50,1,0.730531604,1,1,32,12,2,3.912023005,50,15,12,2.208584367,19.68501969,2.045577183,10,50,5,5,5,50,50,5,10,10,1,1.403294791,-1.160702898,1.104905552,-1.395984411,0.346063891,-0.660460722,0.206394737,-0.576185564,1.408786532,-0.812368175,-0.815955367,-0.817510405,1.403200485,1.39753751,-0.826537685,-0.584064367,-0.577937987,1,1,2,0,0,"rich"
103,33,50,1,0.641862232,2,1,33,13,2,3.912023005,50,24,22,2.669101386,23.8222585,2.138899474,50,10,50,5,5,5,50,50,5,10,1,1.403294791,-1.142707504,1.194796173,-1.395984411,0.523722358,0.244714681,0.748045444,1.397831346,-0.570285121,1.420003821,-0.815955367,-0.817510405,-0.819086754,1.39753751,1.391851952,-0.830340356,-0.577937987,1,1,2,0,0,"rich"
103,34,10,1,0.783308532,1,1,34,14,2,2.302585093,10,33,32,3.129618404,23.34523506,2.147083755,50,50,10,50,5,5,5,50,50,5,1,-0.574192181,-1.124712111,1.284686794,-1.395984411,0.701380826,1.149890085,0.685593143,1.397831346,1.408786532,-0.564326842,1.414410514,-0.817510405,-0.819086754,-0.822786874,1.391851952,1.386143545,-0.82485046,1,1,2,0,0,"rich"
103,35,50,1,0.577158473,1,1,35,15,2,3.912023005,50,34,34,3.26824784,21.9089023,2.235330718,10,50,50,10,50,5,5,5,50,50,1,1.403294791,-1.106716717,1.374577416,-1.395984411,0.879039294,1.25046513,0.497547277,-0.576185564,1.408786532,1.420003821,-0.568136935,1.408816475,-0.819086754,-0.822786874,-0.826537685,1.386143545,1.397361799,1,1,2,0,0,"rich"
103,36,50,1,0.631316395,2,1,36,16,2,3.912023005,50,34,34,3.26824784,21.9089023,2.319165332,50,10,50,50,10,50,5,5,5,50,1,1.403294791,-1.088721323,1.464468037,-1.395984411,1.056697762,1.25046513,0.497547277,1.397831346,-0.570285121,1.420003821,1.414410514,-0.570140752,1.403200485,-0.822786874,-0.826537685,-0.830340356,1.397361799,1,1,2,0,0,"rich"
103,37,50,1,0.677134089,2,1,37,17,2,3.912023005,50,42,42,3.590135423,17.88854382,2.398808216,50,50,10,50,50,10,50,5,5,5,1,1.403294791,-1.070725929,1.554358658,-1.395984411,1.23435623,2.055065489,-0.02880136,1.397831346,1.408786532,-0.564326842,1.414410514,1.408816475,-0.57216595,1.39753751,-0.826537685,-0.830340356,-0.82485046,1,1,2,0,0,"rich"
103,38,10,1,0.88859554,1,1,38,18,2,2.302585093,10,42,42,3.590135423,17.88854382,2.381488054,50,50,50,10,50,50,10,50,5,5,1,-0.574192181,-1.052730535,1.644249279,-1.395984411,1.412014698,2.055065489,-0.02880136,1.397831346,1.408786532,1.420003821,-0.568136935,1.408816475,1.403200485,-0.576084165,1.391851952,-0.830340356,-0.82485046,1,1,2,0,0,"rich"
103,39,10,0,NA,1,1,39,19,2,2.302585093,0,34,34,3.26824784,21.9089023,2.367285521,10,50,50,50,10,50,50,10,50,5,1,-0.574192181,-1.034735142,1.7341399,-1.395984411,1.589673165,1.25046513,0.497547277,-0.576185564,1.408786532,1.420003821,1.414410514,-0.570140752,1.403200485,1.39753751,-0.580049947,1.386143545,-0.82485046,1,1,2,0,0,"rich"
103,40,50,1,0.675376042,2,2,1,1,3,3.912023005,50,34,32,3.26824784,21.9089023,2.444522395,10,10,50,50,50,10,50,50,10,50,1,1.403294791,-1.016739748,-1.681703705,-0.690644919,-1.608179256,1.25046513,0.497547277,-0.576185564,-0.570285121,1.420003821,1.414410514,1.408816475,-0.57216595,1.39753751,1.391851952,-0.584064367,1.397361799,NA,NA,2,0,0,"rich"
103,41,10,1,1.475807198,2,2,2,2,3,2.302585093,10,34,32,3.26824784,21.9089023,2.418973681,50,10,10,50,50,50,10,50,50,10,1,-0.574192181,-0.998744354,-1.591813083,-0.690644919,-1.430520788,1.25046513,0.497547277,1.397831346,-0.570285121,-0.564326842,1.414410514,1.408816475,1.403200485,-0.576084165,1.391851952,1.386143545,-0.577937987,1,NA,2,0,0,"rich"
103,42,10,0,NA,1,2,3,3,3,2.302585093,0,26,24,2.946360258,21.9089023,2.398023735,10,50,10,10,50,50,50,10,50,50,1,-0.574192181,-0.98074896,-1.501922462,-0.690644919,-1.25286232,0.445864771,0.497547277,-0.576185564,1.408786532,-0.564326842,-0.568136935,1.408816475,1.403200485,1.39753751,-0.580049947,1.386143545,1.397361799,1,1,2,0,0,"rich"
103,43,50,1,0.81405639,1,2,4,4,3,3.912023005,50,18,14,2.624472675,17.88854382,2.473723698,10,10,50,10,10,50,50,50,10,50,1,1.403294791,-0.962753567,-1.412031841,-0.690644919,-1.075203852,-0.358735588,-0.02880136,-0.576185564,-0.570285121,1.420003821,-0.568136935,-0.570140752,1.403200485,1.39753751,1.391851952,-0.584064367,1.397361799,0,1,2,0,0,"rich"
103,44,50,1,0.894004802,1,2,5,5,3,3.912023005,50,26,22,2.946360258,21.9089023,2.545638664,50,10,10,50,10,10,50,50,50,10,1,1.403294791,-0.944758173,-1.32214122,-0.690644919,-0.897545384,0.445864771,0.497547277,1.397831346,-0.570285121,-0.564326842,1.414410514,-0.570140752,-0.57216595,1.39753751,1.391851952,1.386143545,-0.577937987,1,1,2,0,0,"rich"
103,45,10,0,NA,1,2,6,6,3,2.302585093,0,34,32,3.26824784,21.9089023,2.501889021,50,50,10,10,50,10,10,50,50,50,1,-0.574192181,-0.926762779,-1.232250599,-0.690644919,-0.719886917,1.25046513,0.497547277,1.397831346,1.408786532,-0.564326842,-0.568136935,1.408816475,-0.57216595,-0.576084165,1.391851952,1.386143545,1.397361799,1,0,1,-1,1,"rich"
103,46,10,0,NA,1,2,7,7,3,2.302585093,0,26,22,2.946360258,21.9089023,2.466014314,10,50,50,10,10,50,10,10,50,50,1,-0.574192181,-0.908767385,-1.142359978,-0.690644919,-0.542228449,0.445864771,0.497547277,-0.576185564,1.408786532,1.420003821,-0.568136935,-0.570140752,1.403200485,-0.576084165,-0.580049947,1.386143545,1.397361799,0,0,1,0,0,"rich"
103,47,10,0,NA,2,2,8,8,3,2.302585093,0,26,20,2.946360258,21.9089023,2.436597054,10,10,50,50,10,10,50,10,10,50,1,-0.574192181,-0.890771992,-1.052469356,-0.690644919,-0.364569981,0.445864771,0.497547277,-0.576185564,-0.570285121,1.420003821,1.414410514,-0.570140752,-0.57216595,1.39753751,-0.580049947,-0.584064367,1.397361799,0,0,1,0,0,"rich"
103,48,10,0,NA,1,2,9,9,3,2.302585093,0,26,20,2.946360258,21.9089023,2.412474901,10,10,10,50,50,10,10,50,10,10,1,-0.574192181,-0.872776598,-0.962578735,-0.690644919,-0.186911513,0.445864771,0.497547277,-0.576185564,-0.570285121,-0.564326842,1.414410514,1.408816475,-0.57216595,-0.576084165,1.391851952,-0.584064367,-0.577937987,0,0,1,0,0,"rich"
103,49,50,0,NA,1,2,10,10,3,3.912023005,0,18,10,2.624472675,17.88854382,2.487452306,10,10,10,10,50,50,10,10,50,10,1,1.403294791,-0.854781204,-0.872688114,-0.690644919,-0.009253045,-0.358735588,-0.02880136,-0.576185564,-0.570285121,-0.564326842,-0.568136935,1.408816475,1.403200485,-0.576084165,-0.580049947,1.386143545,-0.577937987,0,1,1,0,0,"rich"
103,50,10,1,1.309064825,2,2,11,11,3,2.302585093,10,18,0,2.624472675,17.88854382,2.454176208,50,10,10,10,10,50,50,10,10,50,1,-0.574192181,-0.83678581,-0.782797493,-0.690644919,0.168405423,-0.358735588,-0.02880136,1.397831346,-0.570285121,-0.564326842,-0.568136935,-0.570140752,1.403200485,1.39753751,-0.580049947,-0.584064367,1.397361799,0,0,2,1,1,"rich"
103,51,50,1,0.67626468,1,2,12,12,3,3.912023005,50,18,2,2.624472675,17.88854382,2.527068548,10,50,10,10,10,10,50,50,10,10,1,1.403294791,-0.818790416,-0.692906872,-0.690644919,0.346063891,-0.358735588,-0.02880136,-0.576185564,1.408786532,-0.564326842,-0.568136935,-0.570140752,-0.57216595,1.39753751,1.391851952,-0.584064367,-0.577937987,1,0,2,0,0,"rich"
103,52,50,1,1.137685082,1,2,13,13,3,3.912023005,50,26,12,2.946360258,21.9089023,2.596316271,50,10,50,10,10,10,10,50,50,10,1,1.403294791,-0.800795023,-0.60301625,-0.690644919,0.523722358,0.445864771,0.497547277,1.397831346,-0.570285121,1.420003821,-0.568136935,-0.570140752,-0.57216595,-0.576084165,1.391851952,1.386143545,-0.577937987,1,1,2,0,0,"rich"
103,53,50,1,0.695025647,1,2,14,14,3,3.912023005,50,34,22,3.26824784,21.9089023,2.662101607,50,50,10,50,10,10,10,10,50,50,1,1.403294791,-0.782799629,-0.513125629,-0.690644919,0.701380826,1.25046513,0.497547277,1.397831346,1.408786532,-0.564326842,1.414410514,-0.570140752,-0.57216595,-0.576084165,-0.580049947,1.386143545,1.397361799,1,1,2,0,0,"rich"
103,54,5,0,NA,2,2,15,15,3,1.609437912,0,42,32,3.590135423,17.88854382,2.472622142,50,50,50,10,50,10,10,10,10,50,1,-0.821378052,-0.764804235,-0.423235008,-0.690644919,0.879039294,2.055065489,-0.02880136,1.397831346,1.408786532,1.420003821,-0.568136935,1.408816475,-0.57216595,-0.576084165,-0.580049947,-0.584064367,1.397361799,1,NA,2,0,0,"rich"
103,55,10,1,1.148490624,1,2,16,16,3,2.302585093,10,33,32,3.129618404,23.34523506,2.442015473,5,50,50,50,10,50,10,10,10,10,1,-0.574192181,-0.746808841,-0.333344387,-0.690644919,1.056697762,1.149890085,0.685593143,-0.822937678,1.408786532,1.420003821,1.414410514,-0.570140752,1.403200485,-0.576084165,-0.580049947,-0.584064367,-0.577937987,0,1,2,0,0,"rich"
103,56,5,0,NA,2,2,17,17,3,1.609437912,0,33,32,3.129618404,23.34523506,2.292151512,10,5,50,50,50,10,50,10,10,10,1,-0.821378052,-0.728813448,-0.243453766,-0.690644919,1.23435623,1.149890085,0.685593143,-0.576185564,-0.817669078,1.420003821,1.414410514,1.408816475,-0.57216595,1.39753751,-0.580049947,-0.584064367,-0.577937987,1,0,2,0,0,"rich"
103,57,50,1,0.771878113,1,2,18,18,3,3.912023005,50,24,22,2.669101386,23.8222585,2.373145087,5,10,5,50,50,50,10,50,10,10,1,1.403294791,-0.710818054,-0.153563145,-0.690644919,1.412014698,0.244714681,0.748045444,-0.822937678,-0.570285121,-0.812368175,1.414410514,1.408816475,1.403200485,-0.576084165,1.391851952,-0.584064367,-0.577937987,0,1,2,0,0,"rich"
103,58,10,1,0.797651491,2,2,19,1,4,2.302585093,10,24,22,2.669101386,23.8222585,2.360444288,50,5,10,5,50,50,50,10,50,10,-1,-0.574192181,-0.69282266,-0.063672523,-0.690644919,-1.608179256,0.244714681,0.748045444,1.397831346,-0.817669078,-0.564326842,-0.815955367,1.408816475,1.403200485,1.39753751,-0.580049947,1.386143545,-0.577937987,1,1,2,0,0,"poor"
103,59,5,0,NA,2,2,20,2,4,1.609437912,0,16,14,2.347213803,19.17028951,2.225263141,10,50,5,10,5,50,50,50,10,50,-1,-0.821378052,-0.674827266,0.026218098,-0.690644919,-1.430520788,-0.559885678,0.13900584,-0.576185564,1.408786532,-0.812368175,-0.568136935,-0.817510405,1.403200485,1.39753751,1.391851952,-0.584064367,1.397361799,1,0,2,0,0,"poor"
103,60,10,0,NA,2,2,21,3,4,2.302585093,0,16,14,2.347213803,19.17028951,2.229129238,5,10,50,5,10,5,50,50,50,10,-1,-0.574192181,-0.656831873,0.116108719,-0.690644919,-1.25286232,-0.559885678,0.13900584,-0.822937678,-0.570285121,1.420003821,-0.815955367,-0.570140752,-0.819086754,1.39753751,1.391851952,1.386143545,-0.577937987,0,1,2,0,0,"poor"
103,61,5,0,NA,2,2,22,4,4,1.609437912,0,16,12,2.347213803,19.17028951,2.1175848,10,5,10,50,5,10,5,50,50,50,-1,-0.821378052,-0.638836479,0.20599934,-0.690644919,-1.075203852,-0.559885678,0.13900584,-0.576185564,-0.817669078,-0.564326842,1.414410514,-0.817510405,-0.57216595,-0.822786874,1.391851952,1.386143545,1.397361799,0,0,2,0,0,"poor"
103,62,5,0,NA,2,2,23,5,4,1.609437912,0,16,12,2.347213803,19.17028951,2.02611836,5,10,5,10,50,5,10,5,50,50,-1,-0.821378052,-0.620841085,0.295889961,-0.690644919,-0.897545384,-0.559885678,0.13900584,-0.822937678,-0.570285121,-0.812368175,-0.568136935,1.408816475,-0.819086754,-0.576084165,-0.826537685,1.386143545,1.397361799,0,0,2,0,0,"poor"
103,63,50,1,0.642743654,1,2,24,6,4,3.912023005,50,7,2,1.886696785,2.738612788,2.120413592,5,5,10,5,10,50,5,10,5,50,-1,1.403294791,-0.602845691,0.385780583,-0.690644919,-0.719886917,-1.465061081,-2.012242787,-0.822937678,-0.817669078,-0.564326842,-0.815955367,-0.570140752,1.403200485,-0.822786874,-0.580049947,-0.830340356,1.397361799,0,1,2,0,0,"poor"
103,64,50,1,0.844124702,1,2,25,7,4,3.912023005,50,15,10,2.208584367,19.68501969,2.209994063,50,5,5,10,5,10,50,5,10,5,-1,1.403294791,-0.584850297,0.475671204,-0.690644919,-0.542228449,-0.660460722,0.206394737,1.397831346,-0.817669078,-0.812368175,-0.568136935,-0.817510405,-0.57216595,1.39753751,-0.826537685,-0.584064367,-0.82485046,1,1,2,0,0,"poor"
103,65,5,0,NA,1,2,26,8,4,1.609437912,0,24,20,2.669101386,23.8222585,2.101893956,50,50,5,5,10,5,10,50,5,10,-1,-0.821378052,-0.566854904,0.565561825,-0.690644919,-0.364569981,0.244714681,0.748045444,1.397831346,1.408786532,-0.812368175,-0.815955367,-0.570140752,-0.819086754,-0.576084165,1.391851952,-0.830340356,-0.577937987,1,0,2,0,0,"poor"
