DRN_custom,GLM,contrast,timelock
-0.00596684996664866,GLM_04.2a_low,contr1,offer-timelocked
-0.0381365013509533,GLM_04.2a_low,contr1,offer-timelocked
0.0781514045386532,GLM_04.2a_low,contr1,offer-timelocked
0.111158025351032,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
-0.0245180669918014,GLM_04.2a_low,contr1,offer-timelocked
0.0108958759583893,GLM_04.2a_low,contr1,offer-timelocked
-0.0701033364021187,GLM_04.2a_low,contr1,offer-timelocked
-0.0148330927318132,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
0.0789069328120505,GLM_04.2a_low,contr1,offer-timelocked
-0.0534683997385675,GLM_04.2a_low,contr1,offer-timelocked
-0.000857426611315826,GLM_04.2a_low,contr1,offer-timelocked
-0.0827478801542743,GLM_04.2a_low,contr1,offer-timelocked
-0.0209077964514134,GLM_04.2a_low,contr1,offer-timelocked
-0.0650566076559018,GLM_04.2a_low,contr1,offer-timelocked
-0.0796429999679773,GLM_04.2a_low,contr1,offer-timelocked
-0.0230458067323545,GLM_04.2a_low,contr1,offer-timelocked
-0.0229395785902932,GLM_04.2a_low,contr1,offer-timelocked
0.0376263894563213,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
0.0446086613230321,GLM_04.2a_low,contr1,offer-timelocked
-0.083469635662497,GLM_04.2a_low,contr1,offer-timelocked
-0.100726406139792,GLM_04.2a_low,contr1,offer-timelocked
-0.10779419714911,GLM_04.2a_low,contr1,offer-timelocked
0.0661499948834403,GLM_04.2a_low,contr1,offer-timelocked
