DRN_custom,GLM,contrast,timelock
0.0119804959791042,GLM_04.2b,contr1,offer-timelocked
-0.0201575296444371,GLM_04.2b,contr1,offer-timelocked
0.0699136312084108,GLM_04.2b,contr1,offer-timelocked
0.0128543202544209,GLM_04.2b,contr1,offer-timelocked
-0.0998959748735428,GLM_04.2b,contr1,offer-timelocked
-0.000498427881525207,GLM_04.2b,contr1,offer-timelocked
-0.0744477368849647,GLM_04.2b,contr1,offer-timelocked
0.0254695301551829,GLM_04.2b,contr1,offer-timelocked
0,GLM_04.2b,contr1,offer-timelocked
0.0234744432894087,GLM_04.2b,contr1,offer-timelocked
-0.0651559539621601,GLM_04.2b,contr1,offer-timelocked
0.0184924573062513,GLM_04.2b,contr1,offer-timelocked
-0.0185612132241621,GLM_04.2b,contr1,offer-timelocked
0,GLM_04.2b,contr1,offer-timelocked
0,GLM_04.2b,contr1,offer-timelocked
-0.0175111710101271,GLM_04.2b,contr1,offer-timelocked
0,GLM_04.2b,contr1,offer-timelocked
0,GLM_04.2b,contr1,offer-timelocked
-0.0486033993600451,GLM_04.2b,contr1,offer-timelocked
0.112993567804115,GLM_04.2b,contr1,offer-timelocked
-0.0423080233254752,GLM_04.2b,contr1,offer-timelocked
-0.0168831049595309,GLM_04.2b,contr1,offer-timelocked
0.112605408946803,GLM_04.2b,contr1,offer-timelocked
0.0965168234304374,GLM_04.2b,contr1,offer-timelocked
0.0700172090796125,GLM_04.2b,contr1,offer-timelocked
-0.0656067290685664,GLM_04.2b,contr1,offer-timelocked
0.0135259172823049,GLM_04.2b,contr1,offer-timelocked
