DRN_custom,GLM,contrast,timelock
-0.271771614121367,GLM_04.2c,contr1,offer-timelocked
-0.153601192673659,GLM_04.2c,contr1,offer-timelocked
-0.0562879772490446,GLM_04.2c,contr1,offer-timelocked
-0.0465559685831445,GLM_04.2c,contr1,offer-timelocked
0.180092026099321,GLM_04.2c,contr1,offer-timelocked
-0.192746688216381,GLM_04.2c,contr1,offer-timelocked
-0.146539020320692,GLM_04.2c,contr1,offer-timelocked
-0.0705214839615765,GLM_04.2c,contr1,offer-timelocked
0,GLM_04.2c,contr1,offer-timelocked
-0.128234392052792,GLM_04.2c,contr1,offer-timelocked
-0.138180976686465,GLM_04.2c,contr1,offer-timelocked
-0.0344038185160756,GLM_04.2c,contr1,offer-timelocked
-0.0294576876155884,GLM_04.2c,contr1,offer-timelocked
0,GLM_04.2c,contr1,offer-timelocked
0,GLM_04.2c,contr1,offer-timelocked
0.0625988847901826,GLM_04.2c,contr1,offer-timelocked
0,GLM_04.2c,contr1,offer-timelocked
0.113993700497045,GLM_04.2c,contr1,offer-timelocked
-0.227254094924902,GLM_04.2c,contr1,offer-timelocked
-0.293286238284491,GLM_04.2c,contr1,offer-timelocked
0.0261792726370943,GLM_04.2c,contr1,offer-timelocked
-0.168008615508918,GLM_04.2c,contr1,offer-timelocked
-0.190112968248083,GLM_04.2c,contr1,offer-timelocked
-0.265947124989641,GLM_04.2c,contr1,offer-timelocked
0.156735246741108,GLM_04.2c,contr1,offer-timelocked
0.0145527001498521,GLM_04.2c,contr1,offer-timelocked
-0.135530670740882,GLM_04.2c,contr1,offer-timelocked
