DRN_custom,GLM,contrast,timelock
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0.0159193647342801,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0.0291229967097311,GLM_04.2c_low,contr1,offer-timelocked
-0.0719544078306895,GLM_04.2c_low,contr1,offer-timelocked
-0.159608246401148,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
-0.0108001721650858,GLM_04.2c_low,contr1,offer-timelocked
0.0886122960087096,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0.0551515305335346,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
-0.0671043925673576,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
