DRN_custom,GLM,contrast,timelock
0.0171544450324454,GLM_04.2d,contr1,offer-timelocked
-0.0615262541998257,GLM_04.2d,contr1,offer-timelocked
-0.0488617609701521,GLM_04.2d,contr1,offer-timelocked
-0.00819968317102398,GLM_04.2d,contr1,offer-timelocked
-0.0402300367318261,GLM_04.2d,contr1,offer-timelocked
-0.159141535386952,GLM_04.2d,contr1,offer-timelocked
-0.0850212741460515,GLM_04.2d,contr1,offer-timelocked
0.0916369957825162,GLM_04.2d,contr1,offer-timelocked
0,GLM_04.2d,contr1,offer-timelocked
0.0211565155102804,GLM_04.2d,contr1,offer-timelocked
-0.0869866480945208,GLM_04.2d,contr1,offer-timelocked
-0.111496436053888,GLM_04.2d,contr1,offer-timelocked
-0.0675019075678342,GLM_04.2d,contr1,offer-timelocked
0,GLM_04.2d,contr1,offer-timelocked
0.107802599171947,GLM_04.2d,contr1,offer-timelocked
0.0473107499649025,GLM_04.2d,contr1,offer-timelocked
-0.0269471235304356,GLM_04.2d,contr1,offer-timelocked
0,GLM_04.2d,contr1,offer-timelocked
0.0260565562351605,GLM_04.2d,contr1,offer-timelocked
0.014035346598402,GLM_04.2d,contr1,offer-timelocked
0.0115953009982923,GLM_04.2d,contr1,offer-timelocked
0.133408461151516,GLM_04.2d,contr1,offer-timelocked
-0.0353356372189682,GLM_04.2d,contr1,offer-timelocked
-0.175126701843365,GLM_04.2d,contr1,offer-timelocked
-0.0316163176081238,GLM_04.2d,contr1,offer-timelocked
-0.0348194048685135,GLM_04.2d,contr1,offer-timelocked
-0.0545877487703532,GLM_04.2d,contr1,offer-timelocked
