subject,p_accept_10 _rich,p_accept_10_poor,p_accept_10_diff,dACC_d1,dACC_d2,dACC_d3,dACC_d4,dACC_d_low,dACC_d_mid,dACC_d_high,dACC_H1,dACC_H2,dmPFC_d1,dmPFC_d2,dmPFC_d3,dmPFC_d4,dmPFC_d_low,dmPFC_d_mid,dmPFC_d_high,dmPFC_H1,dmPFC_H2,latFP_d1,latFP_d2,latFP_d3,latFP_d4,latFP_d_low,latFP_d_mid,latFP_d_high,latFP_H1,latFP_H2,pgACC_d1,pgACC_d2,pgACC_d3,pgACC_d4,pgACC_d_low,pgACC_d_mid,pgACC_d_high,pgACC_H1,pgACC_H2,vpgACC_d1,vpgACC_d2,vpgACC_d3,vpgACC_d4,vpgACC_d_low,vpgACC_d_mid,vpgACC_d_high,vpgACC_H1,vpgACC_H2,AI_d1,AI_d2,AI_d3,AI_d4,AI_d_low,AI_d_mid,AI_d_high,AI_H1,AI_H2
103,0.424242424,0.482758621,0.058516196,0.945168719,0.967430806,0.969107364,0.934166284,0.965817483,0.988680323,0.924791739,-0.023938644,-0.033264522,1.051045835,0.994082915,1.021327164,0.941596828,0.978955034,1.03326761,0.884109664,0.029718672,-0.052486087,0.974999593,1.00315761,1.002340681,1.010020363,0.919684467,0.975427604,0.964079416,-0.027341088,0.006862753,1.011100977,0.895218845,0.964574932,0.817174335,0.966558569,0.982509154,0.690205663,0.046526045,-0.078044511,0.979136325,0.967176684,0.973261818,0.842338227,0.993572742,0.952439728,0.807992352,0.005874506,-0.124838457,0.889992819,0.881920299,0.888317784,0.911792957,0.901902374,0.914647823,0.853004889,0.001675035,0.029872658
104,0.2,0.595238095,0.395238095,0.904899826,0.925938237,0.949604993,0.967776374,0.996906095,0.894703633,0.86443062,-0.044705167,0.041838137,0.948597876,1.031388551,0.932801382,1.130582987,0.973409596,1.055085914,0.977262582,0.015796494,0.099194436,0.980681336,0.930101572,1.041272145,0.989098817,0.974556224,0.974763073,0.982995579,-0.060590809,0.058997245,1.02927199,0.99124358,1.012873175,1.038017873,0.963284024,0.996044795,0.989048458,0.016398816,0.046774292,0.991979609,1.035376132,0.998102123,1.04127834,0.971426513,1.009265761,0.998667498,-0.006122514,0.005902209,0.924895702,0.983649618,0.933341738,0.991110072,0.979252434,0.984617434,1.004450499,-0.008446036,0.007460454
106,0.653846154,0.75862069,0.104774536,0.930452451,0.965518052,0.999432527,0.99719471,0.956089269,0.997900128,0.990606268,-0.068980077,0.031676658,0.949215647,0.9740715,1.02574213,0.989521609,0.949361397,1.05424217,0.994483769,-0.076526484,0.015450109,0.910183589,1.165859219,0.968877104,1.080237366,0.95919234,0.878709471,0.818605228,-0.058693515,-0.085621853,0.987095418,1.050757889,1.013322406,0.972525527,1.009575908,1.029223543,1.037651825,-0.026226988,-0.078232362,0.991085547,1.001167614,0.986577304,0.970177144,1.01206342,1.018192818,0.981643297,0.004508243,-0.03099047,0.883285133,0.963035347,0.967773357,0.947972158,0.96781025,0.875641599,0.909017835,-0.084488224,-0.015063188
107,0.074074074,0.235294118,0.161220044,0.950573692,0.972132886,0.95600494,0.962130333,0.998872045,0.961649598,0.888369688,-0.005431248,-0.010002553,1.076158329,1.03643852,1.040969138,1.025944908,1.036088425,0.966978933,0.969794465,0.035189191,-0.010493612,1.05894541,1.040461988,0.920768313,1.007384106,1.04111521,0.962340162,0.860287116,0.138177097,-0.033077882,1.027021888,1.007034343,1.024874973,0.975313589,0.990154294,0.940948051,0.912180882,0.002146915,-0.031720754,1.032204955,1.004782265,1.037970611,0.982567497,1.025718496,0.999176334,0.928472372,-0.005765656,-0.022214768,0.947509619,0.972815579,0.942123274,0.928059244,0.998229568,0.922636435,0.858474819,0.005386344,-0.044756334
109,0.923076923,0.652173913,-0.27090301,1.040652221,1.102038308,0.844704714,0.855625959,0.842378023,0.942100647,0.922571834,0.195947508,-0.246412349,0.895341041,1.036484413,1.015399083,0.901799045,0.913383642,0.896826457,0.905694984,-0.120058042,-0.134685368,1.02044819,0.919209792,0.94684882,0.851511431,0.851012341,0.91780301,0.91993876,0.073599369,-0.067698361,0.971089347,1.056773396,0.986802603,0.906920501,0.866642907,0.937726434,0.896744555,-0.015713257,-0.149852896,0.99912815,1.026020552,1.007706858,1.03539604,0.963859292,0.988468659,0.94403284,-0.008578708,0.009375488,0.682173831,0.775603821,0.748886994,0.612419482,0.672387125,0.688237234,0.639681425,-0.066713164,-0.163184339
110,0.366666667,0.518518519,0.151851852,0.981664375,0.857564123,0.982309092,0.964943445,0.980178003,1.0268791,0.90283984,-0.000644717,0.107379322,1.010676616,0.988461685,1.040007178,0.957896219,1.005258799,1.031542227,0.947908723,-0.029330561,-0.030565466,1.027885902,0.979853889,1.012467081,1.013601413,1.030500435,0.982698915,1.01579326,0.015418821,0.033747524,0.956741603,0.851214773,0.998158013,0.972252131,0.964904955,0.930496012,0.928829179,-0.04141641,0.121037357,0.966643893,0.96318071,1.011058221,0.997772569,1.00121823,0.974093488,0.955339826,-0.044414328,0.034591859,0.860151348,0.787882474,0.946629625,0.88904694,0.935343648,0.928537752,0.765170088,-0.086478277,0.101164466
111,0.538461538,0.25,-0.288461538,0.976609224,0.954888752,0.973856986,0.827433089,1.05565014,0.920895001,0.864389579,0.002752239,-0.127455663,0.95648777,0.943323468,1.00598487,1.010625028,0.952222511,0.997460152,0.960526956,-0.0494971,0.06730156,0.99237604,0.862964614,0.877858646,0.853655583,0.955973803,0.941138728,0.736445511,0.114517394,-0.009309031,0.96237539,0.929268432,0.986717492,0.932020168,0.990610487,0.968664236,0.896733092,-0.024342102,0.002751735,0.984218668,0.978655262,1.000365143,0.986335343,0.982503919,0.975948687,0.996429232,-0.016146475,0.007680081,0.747114532,0.70833639,0.818397383,0.576039396,0.855565479,0.710261393,0.589373895,-0.071282851,-0.132296994
114,0.735294118,0.923076923,0.187782805,1.030641463,0.963145567,0.983842505,0.950260912,1.014116107,0.97378492,0.977465784,0.046798958,-0.012884655,1.003947655,0.981307418,1.06553349,0.933265323,0.954011527,0.939958413,1.061884135,-0.061585835,-0.048042095,0.984440043,0.96247339,1.001426288,0.966287777,0.971712715,0.998266178,1.003235662,-0.016986245,0.003814387,1.00144673,0.91400252,1.01057076,0.944792642,0.962530296,0.944017602,0.971313631,-0.00912403,0.030790121,1.054083168,0.97379304,1.018489656,0.962703516,0.969066971,0.969755888,1.010185471,0.035593512,-0.011089524,1.016491494,0.904399406,1.035681515,0.946321581,0.978209718,0.940370046,1.018016963,-0.019190021,0.041922175
115,0.652173913,0.8125,0.160326087,0.938129295,0.843225789,0.961252704,0.97703605,1.002396138,0.880642631,0.951656112,-0.023123409,0.133810262,0.982165884,0.935338614,0.89319032,0.996985487,0.992201285,0.949011814,0.982175765,0.088975565,0.061646873,0.983594341,0.966275291,0.957508841,0.94763454,0.971039191,0.973519073,0.985255344,0.0260855,-0.018640751,1.021919274,0.847214977,0.93130526,1.007130823,0.992278564,0.943168306,0.940269543,0.090614014,0.159915847,0.999088919,0.935024415,0.942810226,0.993459762,0.967353342,0.971290181,0.949324518,0.056278693,0.058435346,0.945127264,0.818604012,0.971168869,0.863716782,0.985638716,0.861242306,0.845970836,-0.026041606,0.04511277
116,0.290322581,0.416666667,0.126344086,0.980438513,1.011927116,1.009786073,1.014547905,0.971331266,0.931920666,0.949033045,-0.029347559,0.002620789,1.048526636,0.96954333,0.974021977,0.961032092,0.853733719,0.927077424,0.96702283,0.074504659,-0.008511238,1.070687211,1.058283624,0.97008371,0.93437876,0.882960601,0.952502735,0.953933358,0.100603501,-0.123904864,0.97836525,1.05612682,0.906288279,1.016602253,0.976269667,0.932341603,0.937149565,0.072076971,-0.039524567,1.021047545,1.067267395,0.961862745,0.977760468,1.035307233,0.941380244,1.028593322,0.0591848,-0.089506927,0.985151843,0.880858899,0.960808925,0.865751979,0.943036002,0.880359458,0.832999433,0.024342917,-0.015106921
